transaction_id,timestamp,amount,payment_method,error_code,root_cause,action_taken,max_retries_allowed,attempts_made,recovered,money_recovered,predicted_recovery_prob,escalated,escalation_reason,customer_message,idempotency_keys_used,backoff_schedule_seconds
txn_000143,2024-01-15 23:40:00,9445,netbanking,incorrect_cvv,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,1,True,9445,0.41,False,,Payment failed: Incorrect CVV entered. Please try again using UPI.,['ea8208fad8349e04eef0e9d9'],[]
txn_000144,2024-01-15 23:50:00,6085,upi,authentication_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.472,True,Prompt customer directly with a corrective message,Payment failed: 3D secure or OTP authentication failed. Please try again using card.,"['ee94176c78777ba1f24fb189', '8b245237c40fba8c3f00e272']",[]
txn_000145,2024-01-16 00:00:00,1400,card,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,True,1400,0.555,False,,Payment failed: Customer has exceeded daily transaction limit. Please try again using UPI.,"['bbdad90a34f46e20e142fb3e', '01220ff63dc3512aa5b468e4']",[]
txn_000146,2024-01-16 00:10:00,2193,wallet,issuer_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,1,True,2193,0.632,False,,,['57f50cceffc2c57dfbe4bdfa'],[5]
txn_000147,2024-01-16 00:20:00,4185,wallet,invalid_request,MERCHANT_SIDE,NO_RETRY,0,0,False,0,,True,STOP immediately. Flag for merchant/support review — no retry can fix a config/business error.,,[],[]
txn_000148,2024-01-16 00:30:00,4997,upi,bank_not_available,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.584,True,Escalate to ops / infra on-call (system may still be degraded),,"['a07be150d83f97b4b0164da6', '305bd27e8739c91ac4bd29a6', 'ebd35286d179b1360a40e4d5']","[5, 10, 20]"
txn_000149,2024-01-16 00:40:00,7965,upi,transaction_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.369,True,Prompt customer directly with a corrective message,Payment failed: Customer has exceeded credit/debit limit on card. Please try again using card.,"['3ba354f87f882756e1863b40', '4020a85f4cd09d7d2e0672b4']",[]
txn_000150,2024-01-16 00:50:00,9486,wallet,invalid_order_id,MERCHANT_SIDE,NO_RETRY,0,0,False,0,,True,STOP immediately. Flag for merchant/support review — no retry can fix a config/business error.,,[],[]
txn_000268,2024-01-16 19:30:00,4335,netbanking,card_expired,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.519,True,Prompt customer directly with a corrective message,Payment failed: The card has expired. Please try again using UPI.,"['a8f824afb1f4147e3657feae', 'c9beced459ca8bfacf0372fd']",[]
txn_000269,2024-01-16 19:40:00,8178,wallet,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.397,True,Prompt customer directly with a corrective message,Payment failed: Customer has exceeded daily transaction limit. Please try again using UPI.,"['502783dd492095d0d7aa5e61', '2164770c10850e820314b65e']",[]
txn_000270,2024-01-16 19:50:00,4920,upi,payment_risk_check_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,True,4920,0.489,False,,Payment failed: Payment declined due to risk checks. Please try again using card.,"['e1ce6dd9340b339393753af0', 'a497553757228bddc83d942a']",[]
txn_000271,2024-01-16 20:00:00,7684,card,payment_timed_out,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.46,True,Prompt customer directly with a corrective message,Payment failed: Customer did not complete within specified time. Please try again using UPI.,"['1a743120a77839f793743fba', '8db9537cd70d9063385a5e12']",[]
